x	|	y
6	|	159
7	|	158
8	|	157
9	|	156
10	|	155
11	|	154
12	|	153
13	|	152
14	|	152
15	|	151
16	|	150
17	|	149
18	|	148
19	|	147
20	|	146
21	|	146
22	|	145
23	|	144
24	|	143
25	|	142
26	|	141
27	|	140
28	|	139
29	|	139
30	|	138
31	|	137
32	|	136
33	|	135
34	|	134
35	|	133
36	|	133
37	|	132
38	|	131
39	|	130
40	|	129
41	|	128
42	|	127
43	|	127
44	|	126
45	|	125
46	|	124
47	|	123
48	|	122
49	|	121
50	|	120
51	|	120
52	|	119
53	|	118
54	|	117
55	|	116
56	|	115
57	|	114
58	|	114
59	|	113
60	|	112
61	|	111
62	|	110
63	|	109
64	|	108
65	|	108
66	|	107
67	|	106
68	|	105
69	|	104
70	|	103
71	|	102
72	|	101
73	|	101
74	|	100
75	|	99
76	|	98
77	|	97
78	|	96
79	|	95
80	|	95
81	|	94
82	|	93
83	|	92
84	|	91
85	|	90
86	|	89
87	|	88
88	|	88
89	|	87
90	|	86
91	|	85
92	|	84
93	|	83
94	|	82
95	|	82
96	|	81
97	|	80
98	|	79
99	|	78
100	|	77
101	|	76
102	|	76
103	|	75
104	|	74
105	|	73
106	|	72
107	|	71
108	|	70
109	|	69
110	|	69
111	|	68
112	|	67
113	|	66
114	|	65
115	|	64
116	|	63
117	|	63
118	|	62
119	|	61
120	|	60
121	|	59
122	|	58
123	|	57
124	|	57
125	|	56
126	|	55
127	|	54
128	|	53
129	|	52
130	|	51
131	|	50
132	|	50
133	|	49
134	|	48
135	|	47
136	|	46
137	|	45
138	|	44
139	|	44
140	|	43
141	|	42
142	|	41
143	|	40
144	|	39
145	|	38
